"Name","Runtime","Hostname","Notes","GPU Type","GPU Count","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Description","Commit","GitHub","amp","auto_augment","batch_size","bss_reg","clip_grad","cotuning_reg","cutmix","dataset","decay_epochs","decay_rate","delta_reg","device","drop","layer_decay","lr","mixup","mixup_prob","model","momentum","num_classes","opt","opt_betas","patience_epochs","pct_to_freeze","ra_magnitude","ra_num_ops","random_augment","sched","smoothing","sp_reg","stoch_norm","test_mode","trivial_augment","warmup_epochs","warmup_lr","weight_decay","amp_dtype","amp_impl","aot_autograd","aug_repeats","aug_splits","bce_loss","channels_last","checkpoint_hist","class_map","clip_mode","color_jitter","cooldown_epochs","data_dir","dataset_augmentation_path","dataset_download","decay_milestones","dist_bn","distributed","epoch_repeats","epochs","eval_metric","experiment","fast_norm","fuser","grad_checkpointing","hflip","initial_checkpoint","interpolation","jsd_loss","linear_probing","local_rank","log_interval","log_wandb","lr_base","lr_base_scale","lr_base_size","lr_cycle_decay","lr_cycle_limit","lr_cycle_mul","lr_k_decay","lr_noise_pct","lr_noise_std","min_lr","mixup_mode","mixup_off_epoch","mixup_switch_prob","model_ema","model_ema_decay","model_ema_force_cpu","no_aug","no_ddp_bb","no_prefetcher","no_resume_opt","output","persistent_workers","pin_mem","prefetcher","pretrained","project_name","ra_interpolation","ra_num_magnitude_bins","rank","ratio","recount","recovery_interval","remode","reprob","resplit","resume","save_images","scale","sched_on_updates","seed","split_bn","sync_bn","torchscript","train_interpolation","train_split","tta","use_multi_epochs_loader","val_split","vflip","warmup_prefix","worker_seeding","workers","world_size","epoch","eval_loss","eval_time","eval_top1","eval_top5","train_backbone_grad_norm","train_head_grad_norm","train_loss","train_time"
"9992792388352635_micro_set2_RSD_v1","10","dlcgpu11","-","","","","wd22dw24","finished","spinedaa","","","2023-03-01T01:38:58.000Z","2023-03-01T01:39:08.000Z","2023-03-01T01:39:08.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","true","","32","0.001","10","2","2","mtlbm/micro/set2/RSD","90","0.1","0.01","cpu","0.3","","0.005","4","0","volo_d1_384","0.9","20","adam","[0,0.99]","10","1","8","2","false","cosine","0","0.0001","true","true","true","0","0.000001","0.01","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","9992792388352635_micro_set2_RSD_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"9911203240757174_micro_set0_CRS_v1","15","dlcgpu11","-","","","","umx6eael","finished","spinedaa","","","2023-03-01T01:38:38.000Z","2023-03-01T01:38:53.000Z","2023-03-01T01:38:53.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","false","","32","0.001","1","1","0.5","mtlbm/micro/set0/CRS","90","0.1","0","cpu","0.2","0.65","0.005","0","0","beit_base_patch16_384","0.9","20","sgd","","5","0.4","8","2","false","plateau","0.05","0","false","false","true","0","0.000001","0.01","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","9911203240757174_micro_set0_CRS_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"9907740453459167_micro_set0_MD_MIX_v1","10","dlcgpu11","-","","","","76jioqmv","finished","spinedaa","","","2023-03-01T01:38:22.000Z","2023-03-01T01:38:32.000Z","2023-03-01T01:38:32.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","true","v0","512","0","10","0.5","0.1","mtlbm/micro/set0/MD_MIX","90","0.1","0","cpu","0.1","0.75","0.001","0.4","0.25","convnext_small_384_in22ft1k","0","20","momentum","","10","1","8","2","false","cosine","0.05","0","false","false","false","0","0.000001","0.01","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","9907740453459167_micro_set0_MD_MIX_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"9878436415681556_micro_set1_PNU_v1","10","dlcgpu11","-","","","","tyivbh4l","finished","spinedaa","","","2023-03-01T01:38:00.000Z","2023-03-01T01:38:10.000Z","2023-03-01T01:38:10.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","false","","256","0.1","","0.5","1","mtlbm/micro/set1/PNU","90","0.1","0.0001","cpu","0.2","0.65","0.001","2","0.25","tf_efficientnet_b6_ns","0.9","19","adam","[0,0.99]","10","0.6","8","2","false","cosine","0.05","0.01","true","true","false","10","0","0.01","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","9878436415681556_micro_set1_PNU_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"9868677217542475_micro_set2_PRT_v1","129","dlcgpu23","-","NVIDIA GeForce RTX 2080 Ti","1","","5q9sft0h","finished","spinedaa","","","2023-03-01T01:37:48.000Z","2023-03-01T01:39:57.000Z","2023-03-01T01:39:57.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","true","","16","0.0001","1","2","2","mtlbm/micro/set2/PRT","90","0.1","0.0001","cuda:0","0.3","0.65","0.00005","0","0","edgenext_small","0.9","20","adamp","[0,0.99]","10","0.8","8","2","false","cosine","0.1","0.001","true","true","false","10","0","0.01","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","9868677217542475_micro_set2_PRT_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","49","2.93203125","0.6223444938659668","9.375","36.25","0.9999999586974304","0.0000400964154238608","9.01745195388794","2.0089128017425537"
"98492251012463810_micro_set1_ACT_40_v1","12","dlcgpu11","-","","","","heb3yim1","finished","spinedaa","","","2023-03-01T01:37:42.000Z","2023-03-01T01:37:54.000Z","2023-03-01T01:37:54.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","false","","4","0.0001","","1","0.25","mtlbm/micro/set1/ACT_40","10","0.1","0.1","cpu","0.4","0.65","0.001","2","0.25","volo_d4_448","0.9","20","adam","[0,0.99]","10","0.8","8","2","false","multistep","0.1","0.1","false","false","false","10","0.00001","0.1","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","98492251012463810_micro_set1_ACT_40_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"98270424759663531_micro_set2_RSD_v1","625","dlcgpu19","-","NVIDIA GeForce RTX 2080 Ti","1","","lxjjokok","finished","spinedaa","","","2023-03-01T01:37:34.000Z","2023-03-01T01:47:59.000Z","2023-03-01T01:47:59.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","true","","32","0.1","10","0.5","0.25","mtlbm/micro/set2/RSD","90","0.1","0.01","cuda:0","0.2","0.75","0.0005","0.2","0.5","xcit_tiny_24_p8_384_dist","0.9","20","adamw","[0.9,0.999]","10","1","17","3","true","cosine","0","0","false","false","false","5","0.00001","0.1","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","98270424759663531_micro_set2_RSD_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","49","1.87890625","1.9644391536712649","40.625","76.25","0.2224074317053813","3.946285440472905","3.838026412328084","10.08865761756897"
"98039739268897862_micro_set1_MED_LF_v1","9","dlcgpu11","-","","","","235p874x","finished","spinedaa","","","2023-03-01T01:37:26.000Z","2023-03-01T01:37:35.000Z","2023-03-01T01:37:35.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","false","","256","0.0001","1","1","0.25","mtlbm/micro/set1/MED_LF","90","0.1","0.001","cpu","0","0.65","0.00005","1","0","convnext_small_384_in22ft1k","0.9","20","adamp","[0.9,0.999]","10","0.2","17","3","true","cosine","0.1","0.1","false","true","false","10","0.000001","0.1","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","98039739268897862_micro_set1_MED_LF_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"9801011520785727_micro_set1_INS_2_v1","15","dlcgpu11","-","","","","d0jfqls0","finished","spinedaa","","","2023-03-01T01:37:04.000Z","2023-03-01T01:37:19.000Z","2023-03-01T01:37:19.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","true","","32","0.0001","10","0.5","1","mtlbm/micro/set1/INS_2","90","0.1","0.01","cpu","0.3","0.75","0.00005","0.4","1","volo_d5_512","0.9","20","sgd","","5","0.2","8","2","false","plateau","0","0.01","false","false","true","10","0","0.01","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","9801011520785727_micro_set1_INS_2_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
"97956316450762503_micro_set2_INS_v1","14","dlcgpu11","-","","","","m9tbtnxg","finished","spinedaa","","","2023-03-01T01:36:44.000Z","2023-03-01T01:36:58.000Z","2023-03-01T01:36:58.000Z","","","","https://github.com/releaunifreiburg/AutoFinetune/tree/e80805c5807311d964581504189ffa2a7ec2a051","true","","256","0.0001","","0.5","0.5","mtlbm/micro/set2/INS","10","0.1","0.0001","cpu","0.3","","0.00001","4","1","volo_d5_448","0.9","20","adam","[0,0.99]","10","1","8","2","false","step","0","0.1","true","true","false","5","0.000001","0.1","float16","native","false","0","0","false","false","1","","norm","0.4","0","datasets/meta-album","","false","[90,180,270]","reduce","false","0","50","top1","97956316450762503_micro_set2_INS_v1","false","","false","0.5","","","false","false","0","50","true","0.1","","256","0.5","1","1","1","0.67","1","0","batch","0","0.5","false","0.9998","false","false","false","false","false","experiments/output/metrics/","false","false","true","true","AFT-MC-00","nearest","31","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","false","42","false","false","false","random","train","0","false","val","0","false","all","4","1","","","","","","","","",""
