"Name","State","Notes","User","Tags","Created","Runtime","Sweep","amp","amp_dtype","amp_impl","aot_autograd","aug_repeats","aug_splits","auto_augment","batch_size","bce_loss","bss_reg","channels_last","checkpoint_hist","class_map","clip_grad","clip_mode","color_jitter","cooldown_epochs","cotuning_reg","cutmix","data_dir","dataset","dataset_augmentation_path","dataset_download","decay_epochs","decay_milestones","decay_rate","delta_reg","device","dist_bn","distributed","drop","epoch_repeats","epochs","eval_metric","experiment","fast_norm","fuser","grad_checkpointing","hflip","initial_checkpoint","interpolation","jsd_loss","layer_decay","linear_probing","local_rank","log_interval","log_wandb","lr","lr_base","lr_base_scale","lr_base_size","lr_cycle_decay","lr_cycle_limit","lr_cycle_mul","lr_k_decay","lr_noise_pct","lr_noise_std","min_lr","mixup","mixup_mode","mixup_off_epoch","mixup_prob","mixup_switch_prob","model","model_ema","model_ema_decay","model_ema_force_cpu","momentum","no_aug","no_ddp_bb","no_prefetcher","no_resume_opt","num_classes","opt","opt_betas","output","patience_epochs","pct_to_freeze","persistent_workers","pin_mem","prefetcher","pretrained","project_name","ra_interpolation","ra_magnitude","ra_num_magnitude_bins","ra_num_ops","random_augment","rank","ratio","recount","recovery_interval","remode","reprob","resplit","resume","save_images","scale","sched","sched_on_updates","seed","smoothing","sp_reg","split_bn","stoch_norm","sync_bn","test_mode","torchscript","train_interpolation","train_split","trivial_augment","tta","use_multi_epochs_loader","val_split","vflip","warmup_epochs","warmup_lr","warmup_prefix","weight_decay","worker_seeding","workers","world_size","epoch","eval_loss","eval_time","eval_top1","eval_top5","train_backbone_grad_norm","train_head_grad_norm","train_loss","train_time"
"9977002583248901_micro_set2_TEX_ALOT_v1","finished","-","spinedaa","","2023-03-02T03:24:43.000Z","68","","true","float16","native","false","0","0","","64","false","0","false","1","","1","norm","0.4","0","0","4","datasets/meta-album","mtlbm/micro/set2/TEX_ALOT","","false","90","[90,180,270]","0.1","0.0001","cuda:0","reduce","false","0.1","0","50","top1","9977002583248901_micro_set2_TEX_ALOT_v1","false","","false","0.5","","","false","","false","0","50","true","0.00001","0.1","","256","0.5","1","1","1","0.67","1","0","0","batch","0","0.75","0.5","edgenext_x_small","false","0.9998","false","0.9","false","false","false","false","20","adamw","[0,0.99]","experiments/output/metrics/","10","0","false","false","true","true","AFT-MC-01","nearest","9","31","2","true","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","cosine","false","42","0","0","false","true","false","true","false","random","train","false","0","false","val","0","0","0.000001","false","0.01","all","4","1","25","NaN","0.6381452083587646","1.875","21.875","NaN","0","NaN","1.1178269386291504"
"996396123104645_micro_set1_PLT_NET_v1","finished","-","spinedaa","","2023-03-02T03:24:13.000Z","23","","true","float16","native","false","0","0","","8","false","0","false","1","","10","norm","0.4","0","2","1","datasets/meta-album","mtlbm/micro/set1/PLT_NET","","false","90","[90,180,270]","0.1","0.0001","cuda:0","reduce","false","0.4","0","50","top1","996396123104645_micro_set1_PLT_NET_v1","false","","false","0.5","","","false","","false","0","50","true","0.0001","0.1","","256","0.5","1","1","1","0.67","1","0","4","batch","0","0.25","0.5","volo_d3_448","false","0.9998","false","0","false","false","false","false","20","momentum","","experiments/output/metrics/","10","0.2","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","cosine","false","42","0.05","0.0001","false","true","false","true","false","random","train","true","0","false","val","0","0","0.00001","false","0.1","all","4","1","0","2.80078125","0.6348624229431152","0","50","7.885912272661107","6.149176713878646","8.97840404510498","1.1321945190429688"
"99172376918749682_micro_set1_DOG_v1","crashed","-","spinedaa","","2023-03-02T03:14:46.000Z","3572","","false","float16","native","false","0","0","","32","false","0.01","false","1","","10","norm","0.4","0","1","0.5","datasets/meta-album","mtlbm/micro/set1/DOG","","false","10","[90,180,270]","0.1","0.01","cuda:0","reduce","false","0.3","0","50","top1","99172376918749682_micro_set1_DOG_v1","false","","false","0.5","","","false","0.65","false","0","50","true","0.0001","0.1","","256","0.5","1","1","1","0.67","1","0","2","batch","0","1","0.5","volo_d5_512","false","0.9998","false","0.9","false","false","false","false","19","adam","[0,0.999]","experiments/output/metrics/","10","0.8","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","multistep","false","42","0","0","false","false","false","false","false","random","train","true","0","false","val","0","5","0.000001","false","0.01","all","4","1","21","0.39756449468825994","19.186614751815796","98.6842105263158","100","3.892335848955472","3.7957157201669895","4.6494053163026505","132.37255883216858"
"9914645549380173_micro_set0_MD_MIX_v1","finished","-","spinedaa","","2023-03-02T03:12:05.000Z","722","","true","float16","native","false","0","0","","256","false","0.0001","false","1","","10","norm","0.4","0","2","0.1","datasets/meta-album","mtlbm/micro/set0/MD_MIX","","false","20","[90,180,270]","0.1","0.0001","cuda:0","reduce","false","0","0","50","top1","9914645549380173_micro_set0_MD_MIX_v1","false","","false","0.5","","","false","0.75","false","0","50","true","0.01","0.1","","256","0.5","1","1","1","0.67","1","0","0","batch","0","0","0.5","xcit_small_12_p8_384_dist","false","0.9998","false","0.9","false","false","false","false","20","adamw","[0.9,0.999]","experiments/output/metrics/","10","0.8","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","step","false","42","0.1","0","false","false","false","false","false","random","train","false","0","false","val","0","0","0.000001","false","0.01","all","4","1","49","3.016796875","2.082214593887329","2.5","20.625","0.4876248269486736","0.18440969645330504","8.908030192057291","11.465509176254272"
"99078177971234322_micro_set2_BTS_v1","finished","-","spinedaa","","2023-03-02T03:03:27.000Z","1398","","false","float16","native","false","0","0","","2","false","0.1","false","1","","","norm","0.4","0","0","0.25","datasets/meta-album","mtlbm/micro/set2/BTS","","false","90","[90,180,270]","0.1","0.1","cuda:0","reduce","false","0.3","0","50","top1","99078177971234322_micro_set2_BTS_v1","false","","false","0.5","","","false","0.65","false","0","50","true","0.001","0.1","","256","0.5","1","1","1","0.67","1","0","0.2","batch","0","0.5","0.5","xcit_tiny_12_p8_384_dist","false","0.9998","false","0.99","false","false","false","false","20","momentum","","experiments/output/metrics/","2","0.6","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","plateau","false","42","0.1","0.01","false","false","false","false","false","random","train","false","0","false","val","0","0","0.000001","false","0.01","all","4","1","49","3.0145756125450136","1.8200664520263672","3.125","21.875","2.199674828109294","1.9108917791158972","12.134986074765523","26.650206804275513"
"99023671304204678_micro_set1_PLT_NET_v1","finished","-","spinedaa","","2023-03-02T03:00:53.000Z","147","","false","float16","native","false","0","0","","32","false","0","false","1","","","norm","0.4","0","0.5","0.25","datasets/meta-album","mtlbm/micro/set1/PLT_NET","","false","90","[90,180,270]","0.1","0.0001","cuda:0","reduce","false","0","0","50","top1","99023671304204678_micro_set1_PLT_NET_v1","false","","false","0.5","","","false","","false","0","50","true","0.0005","0.1","","256","0.5","1","1","1","0.67","1","0","0","batch","0","0","0.5","mobilevitv2_075","false","0.9998","false","0.9","false","false","false","false","20","momentum","","experiments/output/metrics/","10","0","false","false","true","true","AFT-MC-01","nearest","9","31","3","true","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","cosine","false","42","0.05","0","false","false","false","true","false","random","train","false","0","false","val","0","0","0.000001","false","0.01","all","4","1","49","2.9209166049957274","0.618056058883667","15.625","51.875","32.25123845390839","0.7873122079475678","4.429177792867025","2.2869598865509033"
"9893408302018785_micro_set1_DOG_v1","finished","-","spinedaa","","2023-03-02T02:57:56.000Z","843","","true","float16","native","false","0","0","","4","false","0.1","false","1","","10","norm","0.4","0","4","0","datasets/meta-album","mtlbm/micro/set1/DOG","","false","90","[90,180,270]","0.1","0","cuda:0","reduce","false","0.2","0","50","top1","9893408302018785_micro_set1_DOG_v1","false","","false","0.5","","","false","","false","0","50","true","0.01","0.1","","256","0.5","1","1","1","0.67","1","0","0.4","batch","0","0","0.5","xcit_small_12_p8_384_dist","false","0.9998","false","0.8","false","false","false","false","19","momentum","","experiments/output/metrics/","10","0.6","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","cosine","false","42","0.05","0.1","false","true","false","false","false","random","train","true","0","false","val","0","10","0","false","0.01","all","4","1","49","0.08265605725740131","1.9841015338897705","98.6842105263158","100","8.206864593996904","1.9789191481005843","25.630258426331636","13.580509424209597"
"9885771193266451_micro_set1_INS_2_v1","finished","-","spinedaa","","2023-03-02T02:57:31.000Z","17","","true","float16","native","false","0","0","","2","false","0","false","1","","1","norm","0.4","0","2","2","datasets/meta-album","mtlbm/micro/set1/INS_2","","false","20","[90,180,270]","0.1","0.0001","cuda:0","reduce","false","0.4","0","50","top1","9885771193266451_micro_set1_INS_2_v1","false","","false","0.5","","","false","0.65","false","0","50","true","0.01","0.1","","256","0.5","1","1","1","0.67","1","0","8","batch","0","0.25","0.5","tf_efficientnet_b6_ns","false","0.9998","false","0.9","false","false","false","false","20","adam","[0.9,0.999]","experiments/output/metrics/","10","1","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","multistep","false","42","0.1","0.01","false","true","false","false","false","random","train","false","0","false","val","0","10","0","false","0.01","all","4","1","0","NaN","2.261054039001465","1.875","21.875","NaN","NaN","NaN","0.5423979759216309"
"9793105592978646_micro_set1_PNU_v1","finished","-","spinedaa","","2023-03-02T02:48:46.000Z","518","","false","float16","native","false","0","0","","2","false","0.001","false","1","","1","norm","0.4","0","0.5","0.5","datasets/meta-album","mtlbm/micro/set1/PNU","","false","90","[90,180,270]","0.1","0.1","cuda:0","reduce","false","0.2","0","50","top1","9793105592978646_micro_set1_PNU_v1","false","","false","0.5","","","false","0.75","false","0","50","true","0.00005","0.1","","256","0.5","1","1","1","0.67","1","0","0.4","batch","0","0.75","0.5","mobilevit_xxs","false","0.9998","false","0.9","false","false","false","false","19","adam","[0,0.99]","experiments/output/metrics/","10","0.2","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","cosine","false","42","0.1","0.001","false","false","false","true","false","random","train","false","0","false","val","0","10","0","false","0.01","all","4","1","49","2.9245363222925285","1.012810468673706","5.2631578947368425","38.81578947368421","0.8817957300356103","0.4629200741184056","4.566279338117232","13.181657552719116"
"9790362284526906_micro_set1_MD_5_BIS_v1","finished","-","spinedaa","","2023-03-02T02:45:05.000Z","941","","false","float16","native","false","0","0","","16","false","0","false","1","","1","norm","0.4","0","2","2","datasets/meta-album","mtlbm/micro/set1/MD_5_BIS","","false","20","[90,180,270]","0.1","0.0001","cuda:0","reduce","false","0.3","0","50","top1","9790362284526906_micro_set1_MD_5_BIS_v1","false","","false","0.5","","","false","0.65","false","0","50","true","0.0005","0.1","","256","0.5","1","1","1","0.67","1","0","0.4","batch","0","1","0.5","xcit_tiny_12_p8_384_dist","false","0.9998","false","0.9","false","false","false","false","20","sgd","","experiments/output/metrics/","10","0.6","false","false","true","true","AFT-MC-01","nearest","8","31","2","false","0","[0.75,1.3333333333333333]","1","0","pixel","0","false","","false","[0.08,1]","multistep","false","42","0.05","0.001","false","false","false","false","false","random","train","true","0","false","val","0","10","0","false","0.01","all","4","1","49","3.1404592514038088","1.521136999130249","6.25","25.625","0.8715369902304542","0.4901985683857279","8.817940107981364","16.845088243484497"
