output_state,experiment,diagnosis
xx,103184552944414043_micro_set0_PLT_VIL_v1,batch_size>dataset_size
xx,103762592480278384_micro_set0_BRD_v1,NoCUDA
xx,103803642350621362_micro_set2_AWA_v1,NoCUDA
xx,103928587654824911_micro_set0_SPT_v1,NoCUDA
xx,10418691291570043_micro_set0_BCT_v1,NoCUDA
xx,104412890546033063_micro_set2_AWA_v1,NoCUDA
xx,104436354463255200_micro_set0_MD_MIX_v1,NoCUDA
xx,104565548055502628_micro_set1_APL_v1,NoCUDA
ok,104449439498554289_micro_set2_PLT_DOC_v1,success
xx,104644123037757055_micro_set1_DOG_v1,NoCUDA
xx,10531345681902461_micro_set0_FLW_v1,AMP
xx,107129798657881982_micro_set1_PNU_v1,NoCUDA
xx,107308798366653742_micro_set0_TEX_v1,NoCUDA
xx,107513085938561179_micro_set1_DOG_v1,diverged
xx,10896322529714181_micro_set2_ACT_410_v1,diverged
xx,109074602699507404_micro_set1_PNU_v1,diverged
ok,109473174602655523_micro_set2_RSD_v1,success
ok,109483860633104040_micro_set1_PNU_v1,success
ok,110221533437268957_micro_set1_MD_5_BIS_v1,success
ok,110615075798670054_micro_set2_RSD_v1,success
ok,111009347805074810_micro_set2_PLT_DOC_v1,success
ok,111345542427997539_micro_set1_MED_LF_v1,success
ok,111554506433028803_micro_set2_MD_6_v1,success
xx,11176648740487744_micro_set1_INS_2_v1,batch_size>dataset_size
ok,111826919517727942_micro_set1_ACT_40_v1,success
xx,11307935556209641_micro_set1_PLT_NET_v1,AMP
ok,114636843489509168_micro_set0_BRD_v1,success
xx,11532279393789497_micro_set1_ACT_40_v1,batch_size>dataset_size
ok,11646866914439090_micro_set2_RSD_v1,success
ok,116678857123127406_micro_set1_PLT_NET_v1,success
ok,116967584400112995_micro_set1_MD_5_BIS_v1,success
ok,11779897739860234_micro_set0_BCT_v1,success
ok,118202278518970531_micro_set1_MD_5_BIS_v1,success
ok,11842525431813255_micro_set0_PLK_v1,success
ok,11894483721835378_micro_set1_RSICB_v1,success
ok,11967270874595900_micro_set1_INS_2_v1,success
ok,119959374935522466_micro_set0_FLW_v1,success
