output_state,experiment,diagnosis
xx,14773877116989968_mini_set1_RSICB_v1,OOM
xx,14933502135694563_mini_set0_PLT_VIL_v1,OOM
ok,149587867674416310_mini_set1_MD_5_BIS_v1,success
ok,14961905154098747_mini_set1_TEX_DTD_v1,success
ok,15024231936714858_mini_set2_AWA_v1,success
xx,150978013724041803_mini_set0_BCT_v1,success
ok,15103622495800380_mini_set1_RSICB_v1,success
ok,15132560478210833_mini_set2_BTS_v1,success
xx,152247654160017207_mini_set1_MED_LF_v1,OOM
ok,152430881281975970_mini_set0_BRD_v1,success
xx,15248278773397705_mini_set0_BRD_v1,diverged
ok,153027658437887836_mini_set0_PLK_v1,success
ok,153365546677078862_mini_set2_PRT_v1,success
ok,153652275534131673_mini_set1_APL_v1,success
ok,15373536572597108_mini_set0_CRS_v1,success
xx,154389584238938209_mini_set2_FNG_v1,AMP
ok,15453643723640108_mini_set1_MD_5_BIS_v1,success
ok,1545934989958330_mini_set0_PLK_v1,success
ok,15519755933893446_mini_set1_TEX_DTD_v1,success
ok,15593038359583635_mini_set1_INS_2_v1,success
ok,157178701886759706_mini_set2_RSD_v1,success
ok,15733108728762916_mini_set2_ACT_410_v1,success
xx,15666947357192756_mini_set1_DOG_v1,OOM
ok,157736712288619656_mini_set0_BCT_v1,success
ok,157848781295073803_mini_set1_DOG_v1,success
ok,100331815210533929_mini_set2_INS_v1,success
ok,15859612030952797_mini_set0_FLW_v1,success
xx,10092640384976259_mini_set1_PLT_NET_v1,AMP
ok,10091579960642376_mini_set2_AWA_v1,success
ok,103233487223258898_mini_set1_APL_v1,success
ok,103281540201081402_mini_set2_RSD_v1,success
ok,159144708573089704_mini_set2_FNG_v1,success
xx,101601200867330645_mini_set1_INS_2_v1,OOM
ok,159623229000579362_mini_set2_INS_v1,success
ok,10404140247307235_mini_set0_PLK_v1,success
ok,160563230698755160_mini_set2_RSD_v1,success
xx,159663079889274845_mini_set0_RESISC_v1,OOM
ok,16079652352703701_mini_set2_PRT_v1,success
ok,160971987117537173_mini_set2_INS_v1,success
ok,161307641347713407_mini_set2_PLT_DOC_v1,success
ok,162503863870302181_mini_set2_MD_6_v1,success
xx,161060476301961519_mini_set1_INS_2_v1,OOM
ok,16264405182750133_mini_set1_DOG_v1,success
ok,1046228767311799_mini_set1_DOG_v1,success
ok,105168062367017923_mini_set0_PLK_v1,success
xx,10540350151958274_mini_set1_PNU_v1,OOM
ok,1059838264227839_mini_set1_INS_2_v1,success
xx,16314335151247360_mini_set0_TEX_v1,OOM
ok,16457749076138556_mini_set0_SPT_v1,success
ok,16491783021869829_mini_set2_RSD_v1,success
xx,106408536000851973_mini_set0_SPT_v1,OOM
ok,106549324559910009_mini_set2_ACT_410_v1,success
ok,106743569622858785_mini_set2_ACT_410_v1,success
ok,106808364121229956_mini_set2_BTS_v1,success
ok,16722671302445260_mini_set1_APL_v1,success
ok,106904058265677586_mini_set1_TEX_DTD_v1,success
ok,167490385210182494_mini_set1_RSICB_v1,success
ok,10728226043040850_mini_set1_INS_2_v1,success
ok,107452909852913976_mini_set1_PNU_v1,success
ok,10686877200852479_mini_set2_TEX_ALOT_v1,success
ok,107713872705554702_mini_set0_BCT_v1,success
ok,10782531428714781_mini_set0_PLT_VIL_v1,success
ok,10712818783675107_mini_set0_MD_MIX_v1,success
ok,108773675056943765_mini_set1_INS_2_v1,success
ok,10888870407337597_mini_set0_MD_MIX_v1,success
ok,16803564080729980_mini_set2_ACT_410_v1,success
ok,109047896135327018_mini_set0_PLT_VIL_v1,success
ok,109654341060848564_mini_set2_ACT_410_v1,success
ok,10985994580617832_mini_set2_INS_v1,success
xx,109974589956429991_mini_set2_RSD_v1,AMP
ok,11066533549996644_mini_set2_INS_v1,success
xx,16842976202902133_mini_set0_PLT_VIL_v1,AMP
ok,16914261096921652_mini_set0_PLK_v1,success
ok,170121788358287379_mini_set1_MD_5_BIS_v1,success
xx,16791157166987388_mini_set2_MD_6_v1,OOM
ok,10888870407337597_mini_set0_MD_MIX_v1,success
xx,172140687870817797_mini_set1_PLT_NET_v1,AMP
ok,17223517478682216_mini_set2_AWA_v1,success
xx,110704714804920788_mini_set1_MD_5_BIS_v1,success
ok,111252934354565_mini_set2_FNG_v1,success
ok,11133204092991600_mini_set2_BTS_v1,success
xx,111598577395204369_mini_set1_TEX_DTD_v1,OOM
ok,111806895058082340_mini_set0_RESISC_v1,success
ok,17374971847616342_mini_set2_PLT_DOC_v1,success
ok,112609670202976162_mini_set0_TEX_v1,success
ok,112807009977212453_mini_set1_ACT_40_v1,success
ok,112953376070646068_mini_set1_TEX_DTD_v1,success
ok,175375112654531219_mini_set1_MED_LF_v1,success
ok,17540267198988811_mini_set0_BCT_v1,success
ok,17563587932182923_mini_set2_ACT_410_v1,success
ok,1760669202709113_mini_set2_INS_v1,success
xx,17685892383203999_mini_set1_INS_2_v1,success
ok,17875274420426779_mini_set1_APL_v1,success
ok,113298591605011847_mini_set0_BCT_v1,success
ok,113596565828301170_mini_set1_MD_5_BIS_v1,success
ok,113735968482621900_mini_set1_DOG_v1,success
ok,18023014910781761_mini_set1_MED_LF_v1,success
ok,18048899119061217_mini_set2_PLT_DOC_v1,success
ok,18128572812746170_mini_set2_INS_v1,success
ok,18245389923003462_mini_set0_SPT_v1,success
ok,18279631948305349_mini_set2_MD_6_v1,success
ok,18308741269333766_mini_set0_BRD_v1,success
ok,18321968699939123_mini_set2_INS_v1,success
ok,115410392899326222_mini_set1_PLT_NET_v1,success
xx,184717803660762886_mini_set2_PRT_v1,batch_size>dataset_size
ok,186134482559068387_mini_set1_MD_5_BIS_v1,success
ok,11568468057054126_mini_set1_ACT_40_v1,success
xx,18733491369876886_mini_set0_TEX_v1,cuDNN_error
ok,18960481870512147_mini_set1_DOG_v1,success
ok,117039829900510812_mini_set2_PRT_v1,success
ok,117169588638922536_mini_set1_PLT_NET_v1,success
ok,190234630874180174_mini_set2_BTS_v1,success
ok,11728842804518002_mini_set0_TEX_v1,success
ok,11792337413487891_mini_set0_BRD_v1,success
xx,11795518041411492_mini_set1_MED_LF_v1,OOM
