device_count,initial_eval_loss,initial_eval_top1,initial_eval_top5,invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,curve_length
1,3.232370476973684,4.605263157894737,22.36842105263158,False,2255699968,2,345222972187152031_micro_set1_PNU_v1,AFT-MC-00,50
1,3.5962096452713013,12.5,12.5,False,9952164864,4,68445532381309624_micro_set2_RSD_v1,AFT-MC-00,1
1,3.096076226234436,3.75,25.0,False,9272144384,16,43102651017402636_micro_set0_BRD_v1,AFT-MC-00,50
1,3.098046875,5.625,34.375,False,8495092736,4,27356381315155821_micro_set1_MD_5_BIS_v1,AFT-MC-00,50
1,3.1885986328125,3.125,23.75,False,657600000,2,88973669170742941_micro_set1_ACT_40_v1,AFT-MC-00,50
1,3.519903564453125,7.5,31.25,False,1964469760,4,266763266168119094_micro_set0_PLK_v1,AFT-MC-00,50
1,3.0380859375,3.125,37.5,False,10103400960,16,21983246392091035_micro_set2_MD_6_v1,AFT-MC-00,1
1,3.2137939453125,6.25,26.25,False,5667213824,2,168205190562271_micro_set1_ACT_40_v1,AFT-MC-00,50
1,3.3415616512298585,10.0,26.875,False,1181170688,32,354505400471261546_micro_set2_FNG_v1,AFT-MC-00,50
1,3.4014676094055174,1.875,23.125,False,10180450304,32,43182600551844026_micro_set1_INS_2_v1,AFT-MC-00,50
1,3.341796875,10.0,26.875,False,615600128,32,23325816789036909_micro_set2_FNG_v1,AFT-MC-00,50
1,3.0272226333618164,0.0,25.0,False,10410563072,4,267852723874992014_micro_set1_ACT_40_v1,AFT-MC-00,1
1,3.0950439453125,6.25,29.375,False,43153408,2,15934291324065469_micro_set2_INS_v1,AFT-MC-00,50
1,3.02578125,4.375,26.25,False,4593962496,2,11793054940059187_micro_set1_MD_5_BIS_v1,AFT-MC-00,50
1,,3.125,12.5,True,10008561664,16,12096950656405587_micro_set0_MD_MIX_v1,AFT-MC-00,1
1,12953.204336547851,3.125,26.875,False,182173184,2,41534771582630970_micro_set2_RSD_v1,AFT-MC-00,50
1,3.0433287620544434,7.8125,28.125,False,8708890624,32,3281454981442040_micro_set1_ACT_40_v1,AFT-MC-00,1
1,3.0481396913528442,5.625,24.375,False,10060753920,4,17674797413262400_micro_set0_RESISC_v1,AFT-MC-00,50
1,3.4164549708366394,3.125,25.625,False,10435554304,8,74588075410489070_micro_set1_INS_2_v1,AFT-MC-00,50
1,13253.0240234375,10.0,34.375,False,291716608,16,9681684361749438_micro_set2_ACT_410_v1,AFT-MC-00,50
1,4.184024320055169e+31,0.0,0.0,False,9566528000,8,11646866914439090_micro_set2_RSD_v1,AFT-MC-00,1
1,3.095703125,0.0,25.0,False,10293334016,4,68594301756177563_micro_set1_ACT_40_v1,AFT-MC-00,1
1,3.2705078125,7.8125,27.34375,False,9909738496,64,66742162259572113_micro_set1_ACT_40_v1,AFT-MC-00,1
1,3.207958984375,4.375,26.25,False,4307543040,4,80043086696251287_micro_set2_PRT_v1,AFT-MC-00,50
1,3.2078125,4.375,26.25,False,10206431232,16,1928703684649257_micro_set2_PRT_v1,AFT-MC-00,50
1,3.4949454069137573,2.5,23.125,False,593268736,16,29781297175001946_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,3.016750621795654,4.375,20.0,False,5203311616,64,32583189348109072_micro_set0_CRS_v1,AFT-MC-00,50
1,2754364.7,5.0,23.125,False,9641146880,128,10188543715595798_micro_set0_FLW_v1,AFT-MC-00,50
