invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,6433124352,32,64189656968596964_extended_set0_PLK_v1,AFT-EX-00,True,1
False,1870305792,4,9807960688271499_extended_set1_APL_v1,AFT-EX-00,False,50
False,256197120,32,8043471881677898_extended_set2_TEX_ALOT_v1,AFT-EX-00,True,1
False,4127005184,8,7317213766521359_extended_set1_TEX_DTD_v1,AFT-EX-00,True,1
False,394043392,4,15314844028951064_extended_set0_BCT_v1,AFT-EX-00,True,1
True,4396622848,32,71707164140800161_extended_set1_PLT_NET_v1,AFT-EX-00,False,1
False,5212631040,256,172605606553161033_extended_set0_PLT_VIL_v1,AFT-EX-00,True,1
False,8578526720,16,48221278135221229_extended_set1_TEX_DTD_v1,AFT-EX-00,True,1
False,439305728,8,114880158923360584_extended_set0_BRD_v1,AFT-EX-00,True,1
False,41225728,2,43856137021585608_extended_set0_RESISC_v1,AFT-EX-00,False,50
False,1175764992,32,48321047954876768_extended_set2_RSD_v1,AFT-EX-00,True,1
False,4689746944,128,1875017784898632_extended_set0_PLT_VIL_v1,AFT-EX-00,False,50
False,1836657664,16,11398896931087716_extended_set1_INS_2_v1,AFT-EX-00,True,1
False,638889472,4,3943703261081846_extended_set2_BTS_v1,AFT-EX-00,False,50
False,57464832,2,7142538604435633_extended_set2_ACT_410_v1,AFT-EX-00,True,1
False,2628809728,64,610468141912184026_extended_set2_PLT_DOC_v1,AFT-EX-00,True,1
False,2589118464,32,16406771594585499_extended_set0_BCT_v1,AFT-EX-00,True,1
False,5262051840,8,36981426032447873_extended_set2_PRT_v1,AFT-EX-00,False,50
False,4688959488,128,241360199524743726_extended_set2_BTS_v1,AFT-EX-00,False,50
False,1824576000,4,27049363246051527_extended_set1_TEX_DTD_v1,AFT-EX-00,True,1
False,2832323584,4,31879499823621417_extended_set1_DOG_v1,AFT-EX-00,False,50
False,6073043968,8,32903956271222321_extended_set1_ACT_40_v1,AFT-EX-00,True,1
False,2599537664,2,51074348199733315_extended_set0_PLT_VIL_v1,AFT-EX-00,True,1
False,7726987264,256,229117021390436486_extended_set0_FLW_v1,AFT-EX-00,True,1
False,644072448,4,58100515831313048_extended_set2_FNG_v1,AFT-EX-00,True,1
False,37336576,4,7459198860207711_extended_set1_APL_v1,AFT-EX-00,True,1
False,8932356096,128,431109092737407541_extended_set1_PLT_NET_v1,AFT-EX-00,False,50
False,2066250240,128,26869941578572375_extended_set1_APL_v1,AFT-EX-00,True,1
False,3975782400,4,1265720720752208_extended_set1_ACT_40_v1,AFT-EX-00,True,1
False,604230656,2,18325372658686632_extended_set0_BCT_v1,AFT-EX-00,False,50
False,2450114048,8,43350626258447621_extended_set1_RSICB_v1,AFT-EX-00,True,1
False,3640382464,8,21635514092957998_extended_set2_AWA_v1,AFT-EX-00,True,1
False,3102509056,128,33094103911601413_extended_set1_PLT_NET_v1,AFT-EX-00,True,1
False,604068864,2,179293463148155958_extended_set2_PRT_v1,AFT-EX-00,True,1
False,299128320,64,19245613521607337_extended_set0_SPT_v1,AFT-EX-00,False,50
False,65902080,2,26650239582802536_extended_set1_DOG_v1,AFT-EX-00,False,50
