invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,10448689664,128,74417154365539438_mini_set2_INS_v1,AFT-MN-00,False,1
False,10131446784,4,51946937390703030_mini_set2_BTS_v1,AFT-MN-00,False,1
False,2347728384,64,28759971764404954_mini_set2_INS_v1,AFT-MN-00,True,50
False,10336083968,32,13521192914230212_mini_set1_ACT_40_v1,AFT-MN-00,False,50
False,5635841536,16,54297691847189142_mini_set1_ACT_40_v1,AFT-MN-00,False,50
False,219258368,2,10751318177802840_mini_set2_BTS_v1,AFT-MN-00,False,50
False,9922150912,8,19795064155795212_mini_set0_RESISC_v1,AFT-MN-00,False,1
False,666929664,2,2095752074071824_mini_set0_BCT_v1,AFT-MN-00,False,50
False,573870592,128,12036959649301549_mini_set2_TEX_ALOT_v1,AFT-MN-00,False,50
False,1414297600,4,73250252917990418_mini_set2_RSD_v1,AFT-MN-00,True,50
False,10421648384,4,29259652942892780_mini_set0_BCT_v1,AFT-MN-00,False,1
False,85489152,4,19964116045046486_mini_set1_MED_LF_v1,AFT-MN-00,True,50
False,10343773184,8,33478475627282520_mini_set2_RSD_v1,AFT-MN-00,False,1
False,6863205376,16,354277794045120_mini_set0_SPT_v1,AFT-MN-00,False,50
False,924915712,16,633337100595043027_mini_set1_MED_LF_v1,AFT-MN-00,True,50
False,5473313792,256,14844155405378199_mini_set1_INS_2_v1,AFT-MN-00,False,50
True,4607678464,256,13558711426352205_mini_set2_MD_6_v1,AFT-MN-00,True,26
False,7115066880,8,25824567055004968_mini_set1_ACT_40_v1,AFT-MN-00,False,50
False,1656949760,16,10466724769439820_mini_set2_INS_v1,AFT-MN-00,False,50
False,79916032,2,6592095616291363_mini_set2_ACT_410_v1,AFT-MN-00,True,50
False,10249937920,16,13608832327020359_mini_set0_MD_MIX_v1,AFT-MN-00,False,1
False,150622720,32,30809488082196213_mini_set0_PLK_v1,AFT-MN-00,True,50
False,1888844800,16,2641337115308844_mini_set2_PLT_DOC_v1,AFT-MN-00,False,50
True,1163920896,2,114512235838237494_mini_set0_TEX_v1,AFT-MN-00,False,1
False,247501824,2,2050450277330611_mini_set1_PNU_v1,AFT-MN-00,False,50
False,180201984,4,66501793078027778_mini_set2_PLT_DOC_v1,AFT-MN-00,False,50
