invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,279844864,32,1196755348161032_tfds-icgen_imagenette_6_v1,AFT-ZAP-00,True,50
False,1783614464,16,117369719540772487_tfds-icgen_cifar10_13_v1,AFT-ZAP-00,False,50
False,10103979520,4,15314646214958121_tfds-icgen_uc_merced_3_v1,AFT-ZAP-00,False,50
False,247249920,2,17243227508264965_tfds-icgen_imagenette_4_v1,AFT-ZAP-00,False,50
False,4171052032,8,11156615944049560_tfds-icgen_cifar10_9_v1,AFT-ZAP-00,True,50
False,7779243008,256,11441072178959109_tfds-icgen_cycle_gan_iphone2dslr_flower_4_v1,AFT-ZAP-00,False,50
False,1950642688,64,117938729756325071_tfds-icgen_cifar10_12_v1,AFT-ZAP-00,True,50
False,3105448960,512,16059948159986854_tfds-icgen_cmaterdb_devanagari_3_v1,AFT-ZAP-00,False,50
False,9964903424,32,15133496117115722_tfds-icgen_deep_weeds_15_v1,AFT-ZAP-00,False,50
False,2967046656,256,116902369520532662_tfds-icgen_visual_domain_decathlon_dtd_12_v1,AFT-ZAP-00,False,50
False,10337872896,8,14553951884001350_tfds-icgen_imagenette_14_v1,AFT-ZAP-00,False,50
False,6989606912,8,17455794070371304_tfds-icgen_rock_paper_scissors_8_v1,AFT-ZAP-00,True,50
False,2684099584,256,14119510010149545_tfds-icgen_cycle_gan_apple2orange_10_v1,AFT-ZAP-00,True,50
False,10381502464,128,150366424453374866_tfds-icgen_visual_domain_decathlon_dtd_10_v1,AFT-ZAP-00,False,50
False,886069760,2,15908706318210048_tfds-icgen_visual_domain_decathlon_dtd_3_v1,AFT-ZAP-00,False,50
False,498134528,2,15794721743117005_tfds-icgen_oxford_iiit_pet_10_v1,AFT-ZAP-00,False,50
False,8531120640,32,174052170671712885_tfds-icgen_cifar10_10_v1,AFT-ZAP-00,False,50
True,322948608,16,117156281756687431_tfds-icgen_cycle_gan_facades_5_v1,AFT-ZAP-00,True,26
False,10176155648,32,14851275056821451_tfds-icgen_cycle_gan_iphone2dslr_flower_5_v1,AFT-ZAP-00,False,1
False,4666699776,32,14684478972502724_tfds-icgen_malaria_6_v1,AFT-ZAP-00,True,50
False,2788677632,4,156098594143766253_tfds-icgen_cmaterdb_telugu_11_v1,AFT-ZAP-00,False,50
False,1857846272,128,15237862075148179_tfds-icgen_cycle_gan_apple2orange_5_v1,AFT-ZAP-00,True,50
False,10055240192,2,16006509326435586_tfds-icgen_cats_vs_dogs_6_v1,AFT-ZAP-00,False,1
False,5839373824,16,152507225319914509_tfds-icgen_eurosat_rgb_7_v1,AFT-ZAP-00,False,50
True,641863680,4,169946705283236949_tfds-icgen_horses_or_humans_13_v1,AFT-ZAP-00,True,26
False,1456107520,4,115039811011314801_tfds-icgen_cycle_gan_horse2zebra_2_v1,AFT-ZAP-00,False,50
False,872006656,2,17101926539870094_tfds-icgen_visual_domain_decathlon_dtd_5_v1,AFT-ZAP-00,True,50
False,10292429824,8,158558951844658307_tfds-icgen_imagenet_resized_32x32_4_v1,AFT-ZAP-00,False,1
False,34002432,4,120886718732002496_tfds-icgen_imagenet_resized_32x32_7_v1,AFT-ZAP-00,False,50
False,3454483456,16,15344295661558177_tfds-icgen_visual_domain_decathlon_dtd_12_v1,AFT-ZAP-00,False,50
False,7000519680,8,15248917965095482_tfds-icgen_cmaterdb_bangla_3_v1,AFT-ZAP-00,False,50
False,8525743616,256,15120340176004612_tfds-icgen_cycle_gan_apple2orange_4_v1,AFT-ZAP-00,False,50
False,1181869056,32,15721321007917413_tfds-icgen_rock_paper_scissors_8_v1,AFT-ZAP-00,False,50
False,10387383808,16,168476121005383545_tfds-icgen_cycle_gan_apple2orange_15_v1,AFT-ZAP-00,False,50
False,9018378752,32,15573879737892984_tfds-icgen_malaria_10_v1,AFT-ZAP-00,False,50
False,8911628288,8,142656552307537530_tfds-icgen_uc_merced_2_v1,AFT-ZAP-00,False,1
False,274924544,32,149359637912023196_tfds-icgen_cycle_gan_maps_5_v1,AFT-ZAP-00,False,50
False,8461134848,32,114765291727927820_tfds-icgen_cats_vs_dogs_3_v1,AFT-ZAP-00,True,50
False,9966685184,32,1590883757670236_tfds-icgen_cars196_14_v1,AFT-ZAP-00,False,1
False,1358904320,4,161475167941107068_tfds-icgen_cycle_gan_apple2orange_6_v1,AFT-ZAP-00,False,50
False,10131454976,8,11055753464857502_tfds-icgen_mnist_4_v1,AFT-ZAP-00,False,1
False,888886784,4,15694538740804263_tfds-icgen_cycle_gan_horse2zebra_3_v1,AFT-ZAP-00,True,50
False,6054457344,8,105561929797786246_tfds-icgen_horses_or_humans_3_v1,AFT-ZAP-00,True,50
False,9711680512,8,145426977131328262_tfds-icgen_fashion_mnist_12_v1,AFT-ZAP-00,False,1
False,7918201344,16,174532292181192373_tfds-icgen_visual_domain_decathlon_dtd_14_v1,AFT-ZAP-00,False,50
False,787042304,4,100502986656461276_tfds-icgen_eurosat_rgb_4_v1,AFT-ZAP-00,False,50
False,4686622720,128,112474006674803004_tfds-icgen_cats_vs_dogs_15_v1,AFT-ZAP-00,True,50
False,392735744,2,16992960035952241_tfds-icgen_cycle_gan_maps_3_v1,AFT-ZAP-00,False,50
False,10406893568,128,137631092465674276_tfds-icgen_cars196_10_v1,AFT-ZAP-00,False,50
True,10102518272,32,14203787252188977_tfds-icgen_cmaterdb_devanagari_2_v1,AFT-ZAP-00,True,26
False,4622152192,64,115971294261880810_tfds-icgen_visual_domain_decathlon_dtd_14_v1,AFT-ZAP-00,False,50
False,201925632,16,143534539826852479_tfds-icgen_cmaterdb_bangla_2_v1,AFT-ZAP-00,True,50
