,output_state,experiment,diagnosis,invalid_loss_value,max_memory_allocated,final_batch_size,project,linear_probing,curve_length
0,xx,14773877116989968_mini_set1_RSICB_v1,OOM,,,,,,
1,xx,14933502135694563_mini_set0_PLT_VIL_v1,OOM,,,,,,
2,ok,149587867674416310_mini_set1_MD_5_BIS_v1,success,,,,,,
3,ok,14961905154098747_mini_set1_TEX_DTD_v1,success,,,,,,
4,ok,15024231936714858_mini_set2_AWA_v1,success,,,,,,
5,xx,150978013724041803_mini_set0_BCT_v1,success,,,,,,
6,ok,15103622495800380_mini_set1_RSICB_v1,success,,,,,,
7,ok,15132560478210833_mini_set2_BTS_v1,success,,,,,,
8,xx,152247654160017207_mini_set1_MED_LF_v1,OOM,,,,,,
9,ok,152430881281975970_mini_set0_BRD_v1,success,,,,,,
10,xx,15248278773397705_mini_set0_BRD_v1,diverged,,,,,,
11,ok,153027658437887836_mini_set0_PLK_v1,success,,,,,,
12,ok,153365546677078862_mini_set2_PRT_v1,success,,,,,,
13,ok,153652275534131673_mini_set1_APL_v1,success,,,,,,
14,ok,15373536572597108_mini_set0_CRS_v1,success,,,,,,
15,xx,154389584238938209_mini_set2_FNG_v1,AMP,,,,,,
16,ok,15453643723640108_mini_set1_MD_5_BIS_v1,success,,,,,,
17,ok,1545934989958330_mini_set0_PLK_v1,success,,,,,,
18,ok,15519755933893446_mini_set1_TEX_DTD_v1,success,,,,,,
19,ok,15593038359583635_mini_set1_INS_2_v1,success,,,,,,
20,ok,157178701886759706_mini_set2_RSD_v1,success,,,,,,
21,ok,15733108728762916_mini_set2_ACT_410_v1,success,,,,,,
22,xx,15666947357192756_mini_set1_DOG_v1,OOM,,,,,,
23,ok,157736712288619656_mini_set0_BCT_v1,success,,,,,,
24,ok,157848781295073803_mini_set1_DOG_v1,success,,,,,,
25,ok,100331815210533929_mini_set2_INS_v1,success,,,,,,
26,ok,15859612030952797_mini_set0_FLW_v1,success,,,,,,
27,xx,10092640384976259_mini_set1_PLT_NET_v1,AMP,,,,,,
28,ok,10091579960642376_mini_set2_AWA_v1,success,,,,,,
29,ok,103233487223258898_mini_set1_APL_v1,success,,,,,,
30,ok,103281540201081402_mini_set2_RSD_v1,success,,,,,,
31,ok,159144708573089704_mini_set2_FNG_v1,success,,,,,,
32,xx,101601200867330645_mini_set1_INS_2_v1,OOM,,,,,,
33,ok,159623229000579362_mini_set2_INS_v1,success,,,,,,
34,ok,10404140247307235_mini_set0_PLK_v1,success,,,,,,
35,ok,160563230698755160_mini_set2_RSD_v1,success,,,,,,
36,xx,159663079889274845_mini_set0_RESISC_v1,OOM,,,,,,
37,ok,16079652352703701_mini_set2_PRT_v1,success,,,,,,
38,ok,160971987117537173_mini_set2_INS_v1,success,,,,,,
39,ok,161307641347713407_mini_set2_PLT_DOC_v1,success,,,,,,
40,ok,162503863870302181_mini_set2_MD_6_v1,success,,,,,,
41,xx,161060476301961519_mini_set1_INS_2_v1,OOM,,,,,,
42,ok,16264405182750133_mini_set1_DOG_v1,success,,,,,,
43,ok,1046228767311799_mini_set1_DOG_v1,success,,,,,,
44,ok,105168062367017923_mini_set0_PLK_v1,success,,,,,,
45,xx,10540350151958274_mini_set1_PNU_v1,OOM,,,,,,
46,ok,1059838264227839_mini_set1_INS_2_v1,success,,,,,,
47,xx,16314335151247360_mini_set0_TEX_v1,OOM,,,,,,
48,ok,16457749076138556_mini_set0_SPT_v1,success,,,,,,
49,ok,16491783021869829_mini_set2_RSD_v1,success,,,,,,
50,xx,106408536000851973_mini_set0_SPT_v1,OOM,,,,,,
51,ok,106549324559910009_mini_set2_ACT_410_v1,success,,,,,,
52,ok,106743569622858785_mini_set2_ACT_410_v1,success,,,,,,
53,ok,106808364121229956_mini_set2_BTS_v1,success,,,,,,
54,ok,16722671302445260_mini_set1_APL_v1,success,,,,,,
55,ok,106904058265677586_mini_set1_TEX_DTD_v1,success,,,,,,
56,ok,167490385210182494_mini_set1_RSICB_v1,success,,,,,,
57,ok,10728226043040850_mini_set1_INS_2_v1,success,,,,,,
58,ok,107452909852913976_mini_set1_PNU_v1,success,,,,,,
59,ok,10686877200852479_mini_set2_TEX_ALOT_v1,success,,,,,,
60,ok,107713872705554702_mini_set0_BCT_v1,success,,,,,,
61,ok,10782531428714781_mini_set0_PLT_VIL_v1,success,,,,,,
62,ok,10712818783675107_mini_set0_MD_MIX_v1,success,,,,,,
63,ok,108773675056943765_mini_set1_INS_2_v1,success,,,,,,
64,ok,10888870407337597_mini_set0_MD_MIX_v1,success,,,,,,
65,ok,10888870407337597_mini_set0_MD_MIX_v1,success,,,,,,
66,ok,16803564080729980_mini_set2_ACT_410_v1,success,,,,,,
67,ok,109047896135327018_mini_set0_PLT_VIL_v1,success,,,,,,
68,ok,109654341060848564_mini_set2_ACT_410_v1,success,,,,,,
69,ok,10985994580617832_mini_set2_INS_v1,success,,,,,,
70,xx,109974589956429991_mini_set2_RSD_v1,AMP,,,,,,
71,ok,11066533549996644_mini_set2_INS_v1,success,,,,,,
72,xx,16842976202902133_mini_set0_PLT_VIL_v1,AMP,,,,,,
73,ok,16914261096921652_mini_set0_PLK_v1,success,,,,,,
74,ok,170121788358287379_mini_set1_MD_5_BIS_v1,success,,,,,,
75,xx,16791157166987388_mini_set2_MD_6_v1,OOM,,,,,,
76,xx,172140687870817797_mini_set1_PLT_NET_v1,AMP,,,,,,
77,ok,17223517478682216_mini_set2_AWA_v1,success,,,,,,
78,xx,110704714804920788_mini_set1_MD_5_BIS_v1,success,,,,,,
79,ok,111252934354565_mini_set2_FNG_v1,success,,,,,,
80,ok,11133204092991600_mini_set2_BTS_v1,success,,,,,,
81,xx,111598577395204369_mini_set1_TEX_DTD_v1,OOM,,,,,,
82,ok,111806895058082340_mini_set0_RESISC_v1,success,,,,,,
83,ok,17374971847616342_mini_set2_PLT_DOC_v1,success,,,,,,
84,ok,112609670202976162_mini_set0_TEX_v1,success,,,,,,
85,ok,112807009977212453_mini_set1_ACT_40_v1,success,,,,,,
86,ok,112953376070646068_mini_set1_TEX_DTD_v1,success,,,,,,
87,ok,175375112654531219_mini_set1_MED_LF_v1,success,,,,,,
88,ok,17540267198988811_mini_set0_BCT_v1,success,,,,,,
89,ok,17563587932182923_mini_set2_ACT_410_v1,success,,,,,,
90,ok,1760669202709113_mini_set2_INS_v1,success,,,,,,
91,xx,17685892383203999_mini_set1_INS_2_v1,success,,,,,,
92,ok,17875274420426779_mini_set1_APL_v1,success,,,,,,
93,ok,113298591605011847_mini_set0_BCT_v1,success,,,,,,
94,ok,113596565828301170_mini_set1_MD_5_BIS_v1,success,,,,,,
95,ok,113735968482621900_mini_set1_DOG_v1,success,,,,,,
96,ok,18023014910781761_mini_set1_MED_LF_v1,success,,,,,,
97,ok,18048899119061217_mini_set2_PLT_DOC_v1,success,,,,,,
98,ok,18128572812746170_mini_set2_INS_v1,success,,,,,,
99,ok,18245389923003462_mini_set0_SPT_v1,success,,,,,,
100,ok,18279631948305349_mini_set2_MD_6_v1,success,,,,,,
101,ok,18308741269333766_mini_set0_BRD_v1,success,,,,,,
