,output_state,experiment,diagnosis,device_count,initial_eval_loss,initial_eval_top1,initial_eval_top5,invalid_loss_value,max_memory_allocated,final_batch_size,project,linear_probing,curve_length
0,xx,103184552944414043_micro_set0_PLT_VIL_v1,batch_size>dataset_size,,,,,,,,,,
1,xx,103762592480278384_micro_set0_BRD_v1,NoCUDA,,,,,,,,,,
2,xx,103803642350621362_micro_set2_AWA_v1,NoCUDA,,,,,,,,,,
3,xx,103928587654824911_micro_set0_SPT_v1,NoCUDA,,,,,,,,,,
4,xx,10418691291570043_micro_set0_BCT_v1,NoCUDA,,,,,,,,,,
5,xx,104412890546033063_micro_set2_AWA_v1,NoCUDA,,,,,,,,,,
6,xx,104436354463255200_micro_set0_MD_MIX_v1,NoCUDA,,,,,,,,,,
7,xx,104565548055502628_micro_set1_APL_v1,NoCUDA,,,,,,,,,,
8,ok,104449439498554289_micro_set2_PLT_DOC_v1,success,1.0,3.0361328125,12.5,18.75,False,8973966336.0,16.0,AFT-MC-00,False,1.0
9,xx,104644123037757055_micro_set1_DOG_v1,NoCUDA,,,,,,,,,,
10,xx,10531345681902461_micro_set0_FLW_v1,AMP,,,,,,,,,,
11,xx,107129798657881982_micro_set1_PNU_v1,NoCUDA,,,,,,,,,,
12,xx,107308798366653742_micro_set0_TEX_v1,NoCUDA,,,,,,,,,,
13,xx,107513085938561179_micro_set1_DOG_v1,diverged,1.0,,4.605263157894737,22.36842105263158,True,9411783168.0,16.0,AFT-MC-00,True,1.0
14,xx,10896322529714181_micro_set2_ACT_410_v1,diverged,,,,,,,,,,
15,xx,109074602699507404_micro_set1_PNU_v1,diverged,,,,,,,,,,
16,ok,109473174602655523_micro_set2_RSD_v1,success,1.0,,3.125,16.875,True,309329920.0,16.0,AFT-MC-00,True,26.0
17,ok,109483860633104040_micro_set1_PNU_v1,success,1.0,3.0288561770790503,2.6315789473684212,21.710526315789473,False,8763396096.0,16.0,AFT-MC-00,True,50.0
18,ok,110221533437268957_micro_set1_MD_5_BIS_v1,success,1.0,3.376953125,3.125,12.5,False,10416838656.0,32.0,AFT-MC-00,False,1.0
19,ok,110615075798670054_micro_set2_RSD_v1,success,1.0,3.3756844729185103,6.875,28.125,False,1086002176.0,2.0,AFT-MC-00,True,50.0
20,ok,111009347805074810_micro_set2_PLT_DOC_v1,success,1.0,3.24884569644928,6.25,37.5,False,10315120640.0,8.0,AFT-MC-00,False,1.0
21,ok,111345542427997539_micro_set1_MED_LF_v1,success,1.0,3.005859375,3.125,21.875,False,10014896128.0,16.0,AFT-MC-00,False,1.0
22,ok,111554506433028803_micro_set2_MD_6_v1,success,1.0,3.0712890625,0.0,25.0,False,9864029696.0,4.0,AFT-MC-00,False,1.0
23,xx,11176648740487744_micro_set1_INS_2_v1,batch_size>dataset_size,,,,,,,,,,
24,ok,111826919517727942_micro_set1_ACT_40_v1,success,1.0,3.453153133392334,6.25,25.0,False,9698955776.0,32.0,AFT-MC-00,False,1.0
25,xx,11307935556209641_micro_set1_PLT_NET_v1,AMP,,,,,,,,,,
26,ok,114636843489509168_micro_set0_BRD_v1,success,1.0,3.013597345352173,3.75,22.5,False,9293872640.0,128.0,AFT-MC-00,False,1.0
27,xx,11532279393789497_micro_set1_ACT_40_v1,batch_size>dataset_size,,,,,,,,,,
28,ok,11646866914439090_micro_set2_RSD_v1,success,1.0,4.184024320055169e+31,0.0,0.0,False,9566528000.0,8.0,AFT-MC-00,False,1.0
29,ok,116678857123127406_micro_set1_PLT_NET_v1,success,1.0,3.2090265274047853,5.625,30.625,False,6766136320.0,128.0,AFT-MC-00,True,50.0
30,ok,116967584400112995_micro_set1_MD_5_BIS_v1,success,1.0,3.259765625,6.25,25.0,False,8540713472.0,256.0,AFT-MC-00,True,50.0
31,ok,11779897739860234_micro_set0_BCT_v1,success,1.0,3.309174728393555,1.875,28.75,False,5207275008.0,64.0,AFT-MC-00,True,50.0
32,ok,118202278518970531_micro_set1_MD_5_BIS_v1,success,1.0,3.041015625,8.125,31.25,True,581786624.0,16.0,AFT-MC-00,True,26.0
33,ok,11842525431813255_micro_set0_PLK_v1,success,1.0,3.349609375,2.5,19.375,False,9051594240.0,256.0,AFT-MC-00,True,50.0
34,ok,11894483721835378_micro_set1_RSICB_v1,success,1.0,3.0701688528060913,3.125,21.875,False,9734469120.0,16.0,AFT-MC-00,False,1.0
35,ok,11967270874595900_micro_set1_INS_2_v1,success,1.0,3.8887397050857544,0.0,18.75,False,10435543552.0,8.0,AFT-MC-00,False,1.0
36,ok,119959374935522466_micro_set0_FLW_v1,success,1.0,3.045558986067772,3.125,31.25,False,51239424.0,2.0,AFT-MC-00,True,50.0
37,xx,120804579338893324_micro_set1_MED_LF_v1,batch_size>dataset_size,,,,,,,,,,
