,output_state,experiment,diagnosis,invalid_loss_value,max_memory_allocated,final_batch_size,project,linear_probing,curve_length
0,xx,14773877116989968_mini_set1_RSICB_v1,OOM,,,,,,
1,xx,14933502135694563_mini_set0_PLT_VIL_v1,OOM,,,,,,
2,ok,149587867674416310_mini_set1_MD_5_BIS_v1,success,False,1614583808.0,16.0,AFT-MN-00,True,50.0
3,ok,14961905154098747_mini_set1_TEX_DTD_v1,success,False,9344595456.0,64.0,AFT-MN-00,False,1.0
4,ok,15024231936714858_mini_set2_AWA_v1,success,False,8661676032.0,16.0,AFT-MN-00,True,50.0
5,xx,150978013724041803_mini_set0_BCT_v1,success,,,,,,
6,ok,15103622495800380_mini_set1_RSICB_v1,success,False,9641370112.0,64.0,AFT-MN-00,False,1.0
7,ok,15132560478210833_mini_set2_BTS_v1,success,False,1992323584.0,8.0,AFT-MN-00,True,50.0
8,xx,152247654160017207_mini_set1_MED_LF_v1,OOM,,,,,,
9,ok,152430881281975970_mini_set0_BRD_v1,success,False,769294336.0,32.0,AFT-MN-00,True,50.0
10,xx,15248278773397705_mini_set0_BRD_v1,diverged,True,9550416896.0,8.0,AFT-MN-00,False,1.0
11,ok,153027658437887836_mini_set0_PLK_v1,success,False,3543289856.0,64.0,AFT-MN-00,True,50.0
12,ok,153365546677078862_mini_set2_PRT_v1,success,False,4749289472.0,32.0,AFT-MN-00,True,50.0
13,ok,153652275534131673_mini_set1_APL_v1,success,False,2485076480.0,256.0,AFT-MN-00,True,50.0
14,ok,15373536572597108_mini_set0_CRS_v1,success,False,10319860736.0,16.0,AFT-MN-00,False,1.0
15,xx,154389584238938209_mini_set2_FNG_v1,AMP,,,,,,
16,ok,15453643723640108_mini_set1_MD_5_BIS_v1,success,False,8531977216.0,16.0,AFT-MN-00,False,1.0
17,ok,1545934989958330_mini_set0_PLK_v1,success,False,9669462016.0,8.0,AFT-MN-00,True,50.0
18,ok,15519755933893446_mini_set1_TEX_DTD_v1,success,False,5520423936.0,16.0,AFT-MN-00,True,50.0
19,ok,15593038359583635_mini_set1_INS_2_v1,success,False,10234102784.0,8.0,AFT-MN-00,False,1.0
20,ok,157178701886759706_mini_set2_RSD_v1,success,False,10423832064.0,16.0,AFT-MN-00,False,1.0
21,ok,15733108728762916_mini_set2_ACT_410_v1,success,False,7002013696.0,8.0,AFT-MN-00,True,50.0
22,xx,15666947357192756_mini_set1_DOG_v1,OOM,,,,,,
23,ok,157736712288619656_mini_set0_BCT_v1,success,False,100752384.0,2.0,AFT-MN-00,True,50.0
24,ok,157848781295073803_mini_set1_DOG_v1,success,True,3693736448.0,8.0,AFT-MN-00,True,26.0
25,ok,100331815210533929_mini_set2_INS_v1,success,False,485593088.0,64.0,AFT-MN-01,True,50.0
26,ok,15859612030952797_mini_set0_FLW_v1,success,False,282854912.0,16.0,AFT-MN-00,True,50.0
27,xx,10092640384976259_mini_set1_PLT_NET_v1,AMP,,,,,,
28,ok,10091579960642376_mini_set2_AWA_v1,success,False,9752214016.0,32.0,AFT-MN-01,False,1.0
29,ok,103233487223258898_mini_set1_APL_v1,success,False,10425396224.0,4.0,AFT-MN-01,False,1.0
30,ok,103281540201081402_mini_set2_RSD_v1,success,False,865887232.0,16.0,AFT-MN-01,True,50.0
31,ok,159144708573089704_mini_set2_FNG_v1,success,False,3700225536.0,64.0,AFT-MN-00,True,50.0
32,xx,101601200867330645_mini_set1_INS_2_v1,OOM,,,,,,
33,ok,159623229000579362_mini_set2_INS_v1,success,False,7247964672.0,32.0,AFT-MN-00,True,50.0
34,ok,10404140247307235_mini_set0_PLK_v1,success,False,10420254208.0,32.0,AFT-MN-01,False,1.0
35,ok,160563230698755160_mini_set2_RSD_v1,success,False,10359911424.0,16.0,AFT-MN-00,False,1.0
36,xx,159663079889274845_mini_set0_RESISC_v1,OOM,,,,,,
37,ok,16079652352703701_mini_set2_PRT_v1,success,False,41715712.0,2.0,AFT-MN-00,True,50.0
38,ok,160971987117537173_mini_set2_INS_v1,success,False,398011392.0,64.0,AFT-MN-00,True,50.0
39,ok,161307641347713407_mini_set2_PLT_DOC_v1,success,False,10407130624.0,16.0,AFT-MN-00,False,1.0
40,ok,162503863870302181_mini_set2_MD_6_v1,success,True,3471594496.0,2.0,AFT-MN-00,True,26.0
41,xx,161060476301961519_mini_set1_INS_2_v1,OOM,,,,,,
42,ok,16264405182750133_mini_set1_DOG_v1,success,False,10181037056.0,16.0,AFT-MN-00,False,1.0
43,ok,1046228767311799_mini_set1_DOG_v1,success,False,495764480.0,2.0,AFT-MN-01,True,50.0
44,ok,105168062367017923_mini_set0_PLK_v1,success,False,8192407040.0,64.0,AFT-MN-01,False,1.0
45,xx,10540350151958274_mini_set1_PNU_v1,OOM,,,,,,
46,ok,1059838264227839_mini_set1_INS_2_v1,success,True,7572998656.0,8.0,AFT-MN-01,True,26.0
47,xx,16314335151247360_mini_set0_TEX_v1,OOM,,,,,,
48,ok,16457749076138556_mini_set0_SPT_v1,success,False,3206816768.0,128.0,AFT-MN-00,True,50.0
49,ok,16491783021869829_mini_set2_RSD_v1,success,False,1216071168.0,4.0,AFT-MN-00,True,50.0
50,xx,106408536000851973_mini_set0_SPT_v1,OOM,,,,,,
51,ok,106549324559910009_mini_set2_ACT_410_v1,success,False,478644224.0,32.0,AFT-MN-01,True,50.0
52,ok,106743569622858785_mini_set2_ACT_410_v1,success,False,9910568448.0,8.0,AFT-MN-01,False,1.0
53,ok,106808364121229956_mini_set2_BTS_v1,success,False,10405970944.0,16.0,AFT-MN-01,False,1.0
54,ok,16722671302445260_mini_set1_APL_v1,success,False,713498624.0,8.0,AFT-MN-00,True,50.0
55,ok,106904058265677586_mini_set1_TEX_DTD_v1,success,False,227999744.0,8.0,AFT-MN-01,True,50.0
56,ok,167490385210182494_mini_set1_RSICB_v1,success,False,5626079744.0,4.0,AFT-MN-00,True,50.0
57,ok,10728226043040850_mini_set1_INS_2_v1,success,False,10127647744.0,4.0,AFT-MN-01,False,1.0
58,ok,107452909852913976_mini_set1_PNU_v1,success,False,8865158144.0,16.0,AFT-MN-01,True,50.0
59,ok,10686877200852479_mini_set2_TEX_ALOT_v1,success,False,9553574912.0,32.0,AFT-MN-01,False,1.0
60,ok,107713872705554702_mini_set0_BCT_v1,success,False,6784285184.0,32.0,AFT-MN-01,True,50.0
61,ok,10782531428714781_mini_set0_PLT_VIL_v1,success,False,9903222272.0,4.0,AFT-MN-01,False,1.0
62,ok,10712818783675107_mini_set0_MD_MIX_v1,success,False,10007725568.0,8.0,AFT-MN-01,False,1.0
63,ok,108773675056943765_mini_set1_INS_2_v1,success,False,6954646016.0,512.0,AFT-MN-01,True,50.0
64,ok,10888870407337597_mini_set0_MD_MIX_v1,success,True,8748025344.0,64.0,AFT-MN-01,True,26.0
65,ok,10888870407337597_mini_set0_MD_MIX_v1,success,True,8748025344.0,64.0,AFT-MN-01,True,26.0
66,ok,16803564080729980_mini_set2_ACT_410_v1,success,False,9969342976.0,4.0,AFT-MN-00,False,1.0
67,ok,109047896135327018_mini_set0_PLT_VIL_v1,success,False,436134400.0,4.0,AFT-MN-01,True,50.0
